Date,Revenue,,
3/31/2021,2052,,65
12/31/2020,2013,,64
9/30/2020,1793,,63
6/30/2020,1008,,62
3/31/2020,4234,,61
12/31/2019,5731,,60
9/30/2019,5639,,59
6/30/2019,5909,,58
3/31/2019,5149,,57
12/31/2018,5704,,56
9/30/2018,5575,,55
6/30/2018,5742,,54
3/31/2018,4944,,53
12/31/2017,5258,,52
9/30/2017,5303,,51
6/30/2017,5731,,50
3/31/2017,4854,,49
12/31/2016,4940,,48
9/30/2016,5139,,47
6/30/2016,5384,,46
3/31/2016,4826,,45
12/31/2015,4977,,44
9/30/2015,5318,,43
6/30/2015,5111,,42
3/31/2015,4414,,41
12/31/2014,4628,,40
9/30/2014,4800,,39
6/30/2014,5011,,38
3/31/2014,4166,,37
12/31/2013,4427,,36
9/30/2013,4545,,35
6/30/2013,4643,,34
3/31/2013,4084,,33
12/31/2012,4172,,32
9/30/2012,4309,,31
6/30/2012,4616,,30
3/31/2012,3991,,29
12/31/2011,4108,,28
9/30/2011,4311,,27
6/30/2011,4136,,26
3/31/2011,3103,,25
12/31/2010,3114,,24
9/30/2010,3192,,23
6/30/2010,3168,,22
3/31/2010,2630,,21
12/31/2009,2711,,20
9/30/2009,2666,,19
6/30/2009,2616,,18
3/31/2009,2357,,17
12/31/2008,2733,,16
9/30/2008,2891,,15
6/30/2008,2869,,14
3/31/2008,2530,,13
12/31/2007,2492,,12
9/30/2007,2588,,11
6/30/2007,2583,,10
3/31/2007,2198,,9
12/31/2006,2276,,8
9/30/2006,2342,,7
6/30/2006,2449,,6
3/31/2006,2019,,5
12/31/2005,1988,,4
9/30/2005,1989,,3
6/30/2005,1944,,2
3/31/2005,1663,,1
